serv_area_id,state,Org_ID,Program_Name,Addr1,Addr2,City,State,Zip,,,,
WI-5,WI,550010,"Legal Action of Wisconsin, Inc.",230 West Wells St.,Room 800,Milwaukee,WI,53203-1866,"Legal Action of Wisconsin, Inc. ",(414) 278-7777 ,(414) 278-7722 ,http://www.palegalservices.org/finder/laurel_legal_services.htm 
NH-1,NH,130010,"Legal Advice & Referral Center, Inc.",48 South Main Street,,Concord,NH,03301-4823,"Legal Advice & Referral Center, Inc. ",(603) 224-5723 ,(800) 639-5290 ,http://www.legalaction.org 
MI-13,MI,423148,"Legal Aid and Defender Association, Inc.",613 Abbott Street,,Detroit,MI,48226-4216,"Legal Aid and Defender Association, Inc. ",(313) 967-5555 ,(877) 964-4700 ,http://www.nhlegalaid.org/LARC 
MD-1,MD,321016,"Legal Aid Bureau, Inc.",500 East Lexington Street,,Baltimore,MD,21202,"Legal Aid Bureau, Inc. ",(410) 951-7680 ,(410) 539-5340 ,http://www.ladadetroit.org/ 
CA-29,CA,805080,Legal Aid Foundation of Los Angeles,1102 South Crenshaw Boulevard,,Los Angeles,CA,90019-3111,Legal Aid Foundation of Los Angeles ,(323) 801-7906 ,(800) 399-4529 ,http://www.mdlab.org/ 
AR-6,AR,604020,"Legal Aid of Arkansas, Inc.",714 South Main Street,,Jonesboro,AR,72401,"Legal Aid of Arkansas, Inc. ",(870) 972-9224 ,(800) 952-9243 ,http://www.lafla.org/ 
TN-9,TN,643020,Legal Aid of East Tennessee,502 South Gay St.,Suite 404,Knoxville,TN,37902-1502,Legal Aid of East Tennessee ,(865) 637-0484 ,(865) 637-0484 ,http://www.arlegalservices.org/ 
NE-4,NE,528020,Legal Aid of Nebraska,1904 Farnam Street,Ste. 500,Omaha,NE,68102-2533,Legal Aid of Nebraska ,(402) 348-1069 ,(877) 250-2016 ,http://www.laet.org/ 
NC-5,NC,634032,"Legal Aid of North Carolina, Inc.",224 South Dawson St.,,Raleigh,NC,27611-6087,"Legal Aid of North Carolina, Inc. ",(919) 856-2130 ,(866) 219-5262 ,http://www.legalaidofnebraska.com 
TX-14,TX,744050,Legal Aid of NorthWest Texas,600 East Weatherford Street,,Fort Worth,TX,76102,Legal Aid of NorthWest Texas ,(817) 649-4740 ,(800) 955-3959 ,http://www.legalaidnc.org/ 
PA-23,PA,339141,Legal Aid of Southeastern Pennsylvania,625-627 Swede Street,,Norristown,PA,19401-4801,Legal Aid of Southeastern Pennsylvania ,(610) 275-5400 ,(610) 275-5400 ,http://www.lanwt.org/ 
KY-10,KY,618004,Legal Aid of the Bluegrass,104 East Seventh Street,,Covington,KY,41011-1740,Legal Aid of the Bluegrass ,(859) 431-8200 ,(800) 888-8189 ,http://www.lasp.org 
